	0	1	2	3	4	5	6	7	8	9	10	11
315052										ʁəaloʒɛnə,None		
315235	ʁədʒɔʒ,None			ʁədʒɔʒ,None								
315278										ʁəkilomɛtʁə,None		
315292										ʁəlasɛʁə,None		
315425										ʁəlibɛʁə,None		
315566										ʁəlɛʃə,None		
315572										ʁəleʒifɛʁə,None		
315576										ʁəlɛgə,None		
315591										ʁəmasɛʁə,None		
315646										ʁəmanjɛʁə,None		
315676										None,ʁəmaʁkɛtə		
315716										ʁəmastɛgə,None		
315965										ʁəmɔdɛʁə,None		
316087										None		
316113										ʁãpjɛtə,None		
316143	ʁãpwazɔn,None			ʁãpwazɔn,None		ʁãpwazɔn,ʁãpwazɔn,None				ʁãpwazɔnə,None		
316229										ʁəmɛʃə,None		
316264										ʁəmɛtʁə,None		
316508										ʁãgʁɛʒ,ʁãgʁɛʒə,None		
316510										ʁãgʁɛnə,None		
316835										ʁəpapjɛtə,None		
316850										ʁəpaʁamɛtʁə,None		
316862										ʁəpaʁãtɛzə,None		
316877										ʁəpaʁklɛt,ʁəpaʁklɛtə,None		
317000										ʁəpɛʁpɛtʁə,None		
317010										ʁəpɛʁsevɛʁə,None		
317016										ʁəpɛstifɛʁə,None		
317050										piʁsə,None		
317069	ʁəpɛ̃ʒ,None			ʁəpɛ̃ʒ,None								
317106										ʁəpjɛs,ʁəpjɛsə,None		
317107										ʁəpjɛʒə,ʁəpjɛʒ,None		
317126										ʁəplanimɛtʁə,None		
317175	ʁəplœʒ,None			ʁəplœʒ,None								
317232										ʁəpɔ̃dɛʁə,None		
317278										ʁəpɔsɛdə,None		
317306										ʁəpuʁlɛʃə,None		
317370										ʁəpʁɔsɛdə,None		
317391										ʁəpʁɔfɛʁə,None		
317403										ʁəpʁɔlifɛʁə,None		
317411										None		
317425	ʁəpʁɔskʁiv,None			ʁəpʁɔskʁiv,None		ʁəpʁɔskʁiv,ʁəpʁɔskʁiv,None						
317427										ʁəpʁɔspɛʁə,None		
317435										ʁəpʁɔtɛʒ,ʁəpʁɔtɛʒə,None		
317457										ʁəpʁesɛdə,None		
317466										ʁəpʁefɛʁə,None		
317557										ʁəpɛʃə,None		
317561										ʁəpɛgə,None		
317565										ʁəpenɛtʁə,None		
317571										ʁəpɛʁə,None		
317575										ʁəpeʁimɛtʁə,None		
317584										ʁəpɛtə,None		
317721										ʁəʁapjɛs,ʁəʁapjɛsə,None		
317859										ʁəʁuspɛtə,None		
317893										ʁəʁɛglə,None		
317894										ʁəʁɛɲə,None		
317904										ʁəʁepɛtə,None		
317927										ʁəʁevɛlə,None		
318045										ʁəsəkʁɛtə,None		
318078										ʁəsidɛʁə,None		
318106										ʁəsjɛʒ,ʁəsjɛʒə,None		
318339	ʁəsufl,None			ʁəsufl,None		ʁəsufl,None,ʁəsufl				ʁəsuflə,None		
318373										ʁəsɛʃə,None		
318489	ʁəybʒɛktiv,None			ʁəybʒɛktiv,None		ʁəybʒɛktiv,None,ʁəybʒɛktiv				ʁəybʒɛktivə,None		
318503										ʁəsyksɛdə,None		
318514										ʁəsygʒɛʁə,None		
318597										ʁəsɛʃə,None		
318599										ʁəsekʁɛtə,None		
318607										ʁəsegʁɛʒə,ʁəsegʁɛʒ,None		
318608										ʁəsegʁegə,None		
318609										ʁəsɛgə,None		
318725										ʁətãpɛʁə,None		
318820										ʁətɔlɛʁə,None		
318950										ʁətʁãsfɛʁə,None		
318957										ʁətʁãslitɛʁə,None		
318958										ʁətʁãslitɛʁə,None		
319003										ʁətʁɛsaj,None		
319124										ʁətɛtə,None		
319301										ʁəvɛʁtɛbʁə,None		
319394										ʁəvɔsifɛʁə,None		
319446										ʁəveʒɛtə,None		
319451										ʁəvenɛʁə,None		
319541										ʁəzɛbʁə,None		
323374										ʁumɛgə,None		
323437										ʁuspɛtə,None		
324752	ʁeãtãd,None			ʁeãtãd,None		ʁeãtãd,None,ʁeãtãd				ʁeãtãd,None		
324766										ʁeɛ̃tɛgʁə,None		
324801										ʁeabʁɛʒ,ʁeabʁɛʒə,None		
324855										ʁeaksɛdə,None		
324857										ʁeakselɛʁə,None		
324868										ʁeasjɛʁə,None		
324899										ʁeasɛʁə,None		
324909										ʁeadɛʁə,None		
324948	ʁeafil,None			ʁeafil,None		ʁeafil,None,ʁeafil				ʁeafilə,None		
324963										ʁeafʁɛtə,None		
324968										ʁeafɛʁə,None		
324978										ʁeaglɔmɛʁə,None		
324997										ʁeagʁɛʒ,ʁeagʁɛʒə,None		
325060										ʁealjɛnə,None		
325073										ʁealɛʃə,None		
325074										ʁealɛʒ,ʁealɛʒə,None		
325076										ʁealɛgə,None		
325077										ʁealɛzə,None		
325095										ʁealtɛʁə,None		
325104										ʁealɛzə,None		
325293										ʁeasaj,None		
325300										ʁeasenə,None		
325311										ʁeasjɛʒ,ʁeasjɛʒə,None		
325330										ʁeasɛʃə,None		
325331										ʁeasɛnə,None		
325409										ʁeavɛʁə,None		
325414										ʁeaɛʁə,None		
