	0	1	2	3	4	5	6	7	8	9	10	11
133120	bʁubəl,bʁubl	,bʁubɛl	,bʁubɛl	bʁubəl,bʁubl	,bʁubɛl	bʁubəl,bʁubl	,bʁubɛl			bʁublɛl,bʁublɛlə	bʁubla,bʁubəla	bʁubəle,bʁuble
133189										bʁuj,bʁujə		
133223										bʁusaj,bʁusajə		
133320			,bʁwa		,bʁwa		,bʁwa					
133447	bʁɥis,bʁɥij			bʁɥis,bʁɥij								
133450										bʁɥisajə,bʁɥisaj		
133971										bʁezijə,bʁezij		
133974										bʁetɑj,bʁetɑjə		
134084	bʁɛl,bʁel	bʁɛl,bʁel	bʁɛl,bʁel	bʁɛl,bʁel	bʁɛl,bʁel	bʁɛl,bʁel	bʁɛl,bʁel	bʁɛl,bʁel		bʁelə,bʁɛlə	bʁɛla,bʁela	bʁele,bʁɛle
134393	byfət,byft			byfət,byft		byfət,byft		byfət,byft		byflɛtə,byfɛtə,byflɛt,byfɛt	byfta,byfəta	byfəte,byfte
135392	byvəət,byvət			byvəət,byvət		byvəət,byvət		byvəət,byvət		byvəɛtə,byvəɛt,byvəlɛtə,byvəlɛt	byvəəta,byvəta	byvəəte,byvəte
135631										bɑj,bɑjə		
135713										bɑj,bɑjə		
135839		,beʃvɛt	,beʃvɛt		,beʃvɛt		,beʃvɛt					
135963		begɛ,begɛj	begɛ,begɛj		begɛ,begɛj		begɛ,begɛj			begej,begejə,bege		
135998	begt,begət			begt,begət		begt,begət				beglɛt,beglɛtə	begta,begəta	begte,begəte
136252												,beni
136365		,bekɛt	,bekɛt		,bekɛt		,bekɛt					
136372										bekij,bekijə		
136654		,bɛʃvɛt	,bɛʃvɛt		,bɛʃvɛt		,bɛʃvɛt					
136708	bɛtiz,betiz	bɛtiz,betiz	bɛtiz,betiz	bɛtiz,betiz	bɛtiz,betiz	bɛtiz,betiz	bɛtiz,betiz	bɛtiz,betiz		bɛtizə,betizə	bɛtiza,betiza	bɛtize,betize
136851	kabaʁt,kabaʁət			kabaʁt,kabaʁət		kabaʁt,kabaʁət		kabaʁt,kabaʁət		kabaʁɛt,kabaʁɛtə,kabaʁlɛt,kabaʁlɛtə	kabaʁəta,kabaʁta	kabaʁte,kabaʁəte
137093	kakakət,kakakt			kakakət,kakakt		kakakət,kakakt		kakakət,kakakt		kakaklɛt,kakaklɛtə,kakakɛt,kakakɛtə	kakakta,kakakəta	kakakte,kakakəte
137192	kaʃət,kaʃt			kaʃət,kaʃt		kaʃət,kaʃt		kaʃət,kaʃt		kaʃlɛtə,kaʃɛt,kaʃlɛt,kaʃɛtə	kaʃəta,kaʃta	kaʃte,kaʃəte
137365	kadəl,kadl			kadəl,kadl		kadəl,kadl		kadəl,kadl		kadɛlə,kadɛl,kadlɛl,kadlɛlə	kadəla,kadla	kadle,kadəle
137591										kafuj,kafujə		
137867										kajə,kaj		
137875	kajt,kajət			kajt,kajət		kajt,kajət		kajt,kajət		kajɛt,kajɛtə,kajlɛt,kajlɛtə	kajta,kajəta	kajəte,kajte
138136		,kals										
139970	kanət,kant			kanət,kant		kanət,kant		kanət,kant		kanlɛt,kanɛt,kanlɛtə,kanɛtə	kanta,kanəta	kanəte,kante
140125	kanəl,kanl			kanəl,kanl		kanəl,kanl		kanəl,kanl		kanɛlə,kanlɛl,kanɛl,kanlɛlə	kanəla,kanla	kanle,kanəle
140153										kanətij,kanətijə		
140252	kãkət,kãkt			kãkət,kãkt		kãkət,kãkt		kãkət,kãkt		kãklɛtə,kãkɛt,kãklɛt,kãkɛtə	kãkta,kãkəta	kãkəte,kãkte
140348										kãtij,kãtijə		
140583	kapl,kapəl			kapl,kapəl		kapl,kapəl		kapl,kapəl		kaplɛlə,kapɛlə,kapɛl,kaplɛl	kapla,kapəla	kaple,kapəle
140705	kapej,kapɛj			kapej,kapɛj		kapej,kapɛj		kapej,kapɛj		kapej,kapejə,kapɛjə,kapɛj	kapɛja,kapeja	kapeje,kapɛje
141141	kakət,kakt			kakət,kakt		kakət,kakt		kakət,kakt		kakɛt,kaklɛtə,kaklɛt,kakɛtə	kakta,kakəta	kakəte,kakte
141269										kaʁãbuj,kaʁãbujə		
141499										kaʁkajə,kaʁkaj		
142045	kaʁnəl,kaʁnl			kaʁnəl,kaʁnl		kaʁnəl,kaʁnl		kaʁnəl,kaʁnl		kaʁnɛl,kaʁnɛlə,kaʁnlɛlə,kaʁnlɛl	kaʁnəla,kaʁnla	kaʁnəle,kaʁnle
142344	kaʁəl,kaʁl			kaʁəl,kaʁl		kaʁəl,kaʁl		kaʁəl,kaʁl		kaʁɛlə,kaʁɛl,kaʁlɛlə,kaʁlɛl	kaʁəla,kaʁla	kaʁəle,kaʁle
142427										kaʁɛʒ,kaʁɛʒə		
142459		kaʁtɛj,kaʁtɛ	kaʁtɛj,kaʁtɛ		kaʁtɛj,kaʁtɛ		kaʁtɛj,kaʁtɛ			kaʁtej,kaʁte,kaʁtejə		
143990	katl,katəl			katl,katəl		katl,katəl		katl,katəl		katɛl,katlɛlə,katlɛl,katɛlə	katla,katəla	katəle,katle
144461										kozajə,kozaj		
145043	səl,sl			səl,sl		səl,sl				slɛlə,slɛl	səla,sla	sle,səle
146124										ʃafuj,ʃafujə		
146494											,ʃalãʒa	
146642										ʃamɑjə,ʃamɑj		
147069		ʃãpɛ,ʃãpɛj	ʃãpɛ,ʃãpɛj		ʃãpɛ,ʃãpɛj		ʃãpɛ,ʃãpɛj			ʃãpej,ʃãpejə,ʃãpe		
147110	ʃãpl,ʃãpəl			ʃãpl,ʃãpəl		ʃãpl,ʃãpəl		ʃãpl,ʃãpəl		ʃãplɛl,ʃãpɛl,ʃãplɛlə,ʃãpɛlə	ʃãpəla,ʃãpla	ʃãpəle,ʃãple
147428	ʃãsl,ʃãsəl			ʃãsl,ʃãsəl		ʃãsl,ʃãsəl		ʃãsl,ʃãsəl		ʃãsɛl,ʃãslɛlə,ʃãslɛl,ʃãsɛlə	ʃãsəla,ʃãsla	ʃãsəle,ʃãsle
147528										ʃãʒɑj,ʃãʒɑjə		
