Phoneme	Affix	Stem	rid
ʃãtje	ije	ʃãt	r187020
ʃãtje	ije	ʃãt	r187020
ʃapəlje	ije	ʃapəl	r90228
ʃapəlje	ije	ʃapəl	r90228
ʃapəlje	ije	ʃapəl	r186374
ʃapəlje	ije	ʃapəl	r186374
ʃapəlje	ije	ʃapəl	r186376
ʃapəlje	ije	ʃapəl	r186376
ʃapəʁɔnje	ije	ʃapəʁɔn	r182656
ʃapəʁɔnje	ije	ʃapəʁɔn	r182658
ʃaʁətje	ije	ʃaʁət	r90536
ʃaʁətje	ije	ʃaʁət	r90536
ʃaʁətje	ije	ʃaʁət	r184712
ʃaʁətje	ije	ʃaʁət	r184712
ʃaʁətje	ije	ʃaʁət	r184714
ʃaʁətje	ije	ʃaʁət	r184714
ʃaʁje	ije	ʃaʁ	r182018
ʃaʁje	ije	ʃaʁ	r182018
ɑ̃tʁasitø	øz		r88474
ɑ̃tʁasitø	øz		r88474
ʃaʁbɔnø	øz		r88192
ʃaʁbɔnø	øz		r88192
ʃaʁbɔnje	ije	ʃaʁbɔn	r90152
ʃaʁbɔnje	ije	ʃaʁbɔn	r90152
ʃaʁbɔnje	ije	ʃaʁbɔn	r185016
ʃaʁbɔnje	ije	ʃaʁbɔn	r185016
ʃaʁbɔnje	ije	ʃaʁbɔn	r185018
ʃaʁbɔnje	ije	ʃaʁbɔn	r185018
ãtʁasɛn	ɛnə	ãtʁasɛ	r217252
ãtʁasɛn	ɛnə	ãtʁasɛ	r217252
ʃaʁdɔnʁɛ	əʁɛ	ʃaʁdɔn	r126994
ʃaʁdɔnʁɛ	əʁɛ	ʃaʁdɔn	r126994
ʃaʁdʁje	ije	ʃaʁdʁ	r181922
ʃaʁɔɲø	øz		r88216
ʃaʁɔɲø	øz		r88216
ʃaʁɔɲe	ije	ʃaʁɔ	r187022
ʃaʁɔɲe	ije	ʃaʁɔ	r187022
ʃaʁpɑ̃tje	ije	ʃaʁpɑ̃t	r90560
ʃaʁpɑ̃tje	ije	ʃaʁpɑ̃t	r90560
ʃaʁpɑ̃tje	ije	ʃaʁpɑ̃t	r185010
ʃaʁpɑ̃tje	ije	ʃaʁpɑ̃t	r185010
ʃaʁpãtje	ije	ʃaʁpãt	r185012
ʃaʁyje	ije	ʃaʁy	r181834
ʃaʁyje	ije	ʃaʁy	r181834
ʃɑtɛɲe	ije	ʃɑtɛ	r185252
ʃɑteɲe	ije	ʃɑte	r185252
ʃɑtɛɲe	ije	ʃɑtɛ	r185252
ʃɑteɲe	ije	ʃɑte	r185252
ʃatujø	øz		r88638
ʃatujø	øz		r88638
ʃɔdʁɔnje	ije	ʃɔdʁɔn	r90600
